year,n,gini,pietra,kolkata,kolkata_excess,pietra_over_kolkata_excess,pietra_over_gini,kolkata_small_g_prediction,pietra_small_g_prediction,gini_poor,gini_rich,delta_gini,zanardi,herfindahl,herfindahl_normalized,shannon_entropy,shannon_inequality,theil,atkinson_0.5
1976,148396,0.6216953545493,0.470887364044834,0.733713867528955,0.4674277350579099,1.007401420000239,0.757424614160428,0.7331357579559875,0.466271515911975,0.3241734631864797,0.4654126478484009,0.1412391846619212,0.04438669992210054,9.748445814160789e-05,9.07463435451467e-05,10.98740026286757,0.07728142763430068,0.9202393923066801,0.32897485273612204
1977,193886,0.848689224891682,0.7131317987193442,0.8471199621392742,0.6942399242785484,1.027212313467031,0.8402743640469349,0.8182584593343807,0.6365169186687615,0.39015511906982053,0.8024323686869904,0.4122772496171699,0.06291241827924082,0.0004017841590842848,0.00039662853479235444,9.245366776288337,0.24062855780745207,2.9296588601696394,0.6824057154644243
1978,216329,0.7682535500644223,0.6083818473471619,0.7986327907362493,0.5972655814724985,1.0186119311400088,0.791902422443926,0.7880950812741584,0.5761901625483168,0.37102863791325297,0.6922073396542608,0.3211787017410079,0.06723231282843764,0.0002650302669718559,0.0002604088819928748,10.121035406555766,0.17611709584838708,2.1635202694450912,0.5498481331544252
1979,171371,0.7288355532327915,0.566076183788813,0.7794482264194571,0.5588964528389142,1.0128462632271673,0.776685743825133,0.7733133324622968,0.5466266649245937,0.3565231212587443,0.6320197012626049,0.27549658000386057,0.06498071562753079,0.0002032982419536078,0.00019746410119526008,10.303393524385822,0.14505912670412924,1.7481925515791183,0.48649930009053033
1981,472198,0.588486655721123,0.44180024835598664,0.7205455417455862,0.4410910834911723,1.0016077515310475,0.7507396201101808,0.7206824958954211,0.44136499179084226,0.3337549840756933,0.3982464967082285,0.06449151263253516,0.02206675238823804,8.459317510389318e-06,6.341575253063479e-06,12.374811865337032,0.052838399021514215,0.6903418027941116,0.28466426606221007
1982,206845,0.5898439323148561,0.44197560748809456,0.7204863199960878,0.4409726399921756,1.002274443820226,0.7493094075810038,0.721191474618071,0.4423829492361421,0.33080512434666043,0.4084292462764903,0.07762412192982987,0.02650259449049314,2.0329123434920696e-05,1.5494660405407803e-05,11.535740907168265,0.05751633246277754,0.7039840923237529,0.2889110089998247
1983,499797,0.5984475364064354,0.45192795088666077,0.7255842192606875,0.451168438521375,1.0016834341687884,0.755167200788231,0.7244178261524132,0.4488356523048266,0.3372582177237886,0.4024223409227209,0.06516412319893228,0.021681003715458814,8.896379160771627e-06,6.895580627728467e-06,12.399176404530332,0.05508178956740495,0.7227808904336831,0.29441785290679434
1984,504543,0.5907641612179759,0.44505261498723514,0.7221229118194434,0.44424582363888687,1.001816092139572,0.7533507348679921,0.721536560456741,0.44307312091348194,0.32948751331102927,0.40068943544044144,0.07120192212941218,0.024184741006189326,7.858216253035615e-06,5.876236275583298e-06,12.435780021193828,0.05297438845979918,0.6956283268537207,0.28622595974251175
1985,514137,0.6020969269730709,0.45355558839800614,0.7264272010686054,0.45285440213721073,1.0015483701990888,0.7532933122216244,0.7257863476149016,0.4515726952298032,0.34152940768980666,0.4094492174121375,0.06791980972233086,0.022417906920624175,8.999238162819157e-06,7.054245007774894e-06,12.410638374637212,0.05624280526100889,0.7396066712504032,0.2992855737727639
1986,284142,0.5930790055733721,0.44469545804926214,0.721918005548659,0.4438360110973181,1.0019364065340692,0.7498081265232834,0.7224046270900145,0.4448092541800291,0.33581443429681473,0.40760380308564054,0.0717893687888258,0.02430011492265993,1.9484019356535253e-05,1.596470846517975e-05,11.82751170911006,0.05811136041912823,0.729717683074933,0.29158701584530433
1987,292615,0.6046304992950189,0.45396419217544515,0.7267185094855623,0.45343701897112454,1.0011626161567417,0.7508125916650812,0.7267364372356321,0.45347287447126416,0.3515372849260729,0.4097641084573307,0.0582268235312578,0.019125354226035916,1.6212833281752535e-05,1.2795417207447414e-05,11.838955146480156,0.059401038426355024,0.7476578842989716,0.3027741999663406
1988,289633,0.6245229030230623,0.4717852816703003,0.7354975364206187,0.4709950728412373,1.0016777433026978,0.7554331144407658,0.7341960886336484,0.46839217726729676,0.3611707631508507,0.4280094144972958,0.06683865134644507,0.020820456729259532,1.836173597352584e-05,1.4909142205350959e-05,11.764226836988133,0.0645769052459102,0.8121430462899674,0.32420428313949967
1989,113568,0.6849621476812187,0.5254684297179391,0.7625572865096807,0.5251145730193614,1.0006738656985714,0.7671495884798761,0.756860805380457,0.5137216107609139,0.411403875746719,0.47142133990031254,0.06001746415359355,0.015865084572328374,8.207064009313078e-05,7.326598795509855e-05,10.583146926421522,0.09080720509094364,1.0570101290247018,0.3967657398845703
1990,115785,0.6608834465792262,0.5014083268909622,0.750603452394576,0.5012069047891521,1.0004018741559333,0.7586940321871926,0.7478312924672098,0.4956625849344196,0.40650562192644585,0.44647688247447925,0.039971260548033405,0.011322021241891108,6.784858462758604e-05,5.921239870020944e-05,10.710833965329238,0.0813634483280854,0.9486563367228251,0.36746760845150117
1992,76440,0.5856840442536253,0.43431213350819176,0.7167079609202114,0.43341592184042277,1.0020677866746643,0.7415468079921206,0.7196315165951095,0.439263033190219,0.34583537656814245,0.40411476892622555,0.058279392358083104,0.0202035748586527,6.56582627136737e-05,5.257679459220055e-05,10.533371867477069,0.06322243015278817,0.7108895308771395,0.2914072541940732
1993,77843,0.6097346922973306,0.45720440352020153,0.7279074113905831,0.45581482278116625,1.0030485641747162,0.7498415446848983,0.728650509611499,0.45730101922299793,0.3464917671169511,0.430652831390074,0.08416106427312287,0.027337775111849854,7.661547024846774e-05,6.376991920237756e-05,10.470101113960975,0.07035309324745986,0.7923481427523371,0.3151528232710299
1995,83455,0.607814895393497,0.45758507259690545,0.728332646906708,0.4566652938134159,1.0020141201793744,0.7528362270567039,0.7279305857725613,0.45586117154512273,0.34567647858309436,0.4182292698033542,0.07255279122025982,0.023618375055198645,5.6853073830864144e-05,4.487110595723114e-05,10.56942272844926,0.06729931924147337,0.762640114963259,0.3104229996308425
1996,82551,0.6093421955329017,0.45792350414386795,0.7286773716283215,0.45735474325664294,1.001243588036663,0.7515046676578664,0.7285033233248381,0.4570066466496763,0.35763896598786216,0.41111334869350863,0.05347438270564647,0.017350253539036298,5.6283313517945305e-05,4.417012494512299e-05,10.562399463658366,0.06702240092862899,0.7587720994869183,0.3132082033947845
1997,87988,0.6087982134452548,0.45678271765155215,0.7280504056763202,0.45610081135264036,1.0014950780220924,0.7503023293491113,0.7282993300419706,0.45659866008394107,0.3543451779824464,0.41688103948361616,0.06253586150116974,0.020337877695153318,5.820929266761292e-05,4.6844638903905415e-05,10.616816718503646,0.06746965213374634,0.7681390020219664,0.3127961865854
1998,88562,0.6095628702929219,0.45837507471998135,0.7286678974691722,0.4573357949383443,1.002272465425054,0.7519734174420957,0.7285860763598457,0.4571721527196914,0.3483598708086241,0.4215875828008388,0.07322771199221473,0.023751321371918103,5.656494039327789e-05,4.527392702328877e-05,10.61994032045127,0.06772775004128029,0.7715178302354139,0.31295863726554585
1999,91737,0.6040101548852972,0.45402268731293294,0.726432063136244,0.45286412627248795,1.0025582972314038,0.7516805531177747,0.7265038080819864,0.4530076161639729,0.34326964586022607,0.41729571243169705,0.07402606657147098,0.02435570096001108,4.925817266154215e-05,3.835786371164965e-05,10.67848408592312,0.0654780663104988,0.7481969805815124,0.3064049753601188
2001,101423,0.6045135448171306,0.4520930391602869,0.7255668078822333,0.45113361576446653,1.0021266945363727,0.747862546730939,0.726692579306424,0.45338515861284795,0.3485761248655083,0.4217142802892463,0.07313815542373797,0.024090843766765062,4.657030959417119e-05,3.671097503470278e-05,10.76987723772858,0.06568702240550539,0.7571779311474522,0.30939258739506537
2002,103915,0.5972393646717358,0.44653860468136086,0.7227634480824946,0.4455268961649892,1.0022708135582392,0.7476710864944318,0.7239647617519009,0.44792952350380183,0.33926747927617296,0.4178697560879322,0.07860227681175924,0.026371411233584427,5.642849872965253e-05,4.680569938114058e-05,10.808531747443356,0.0643040137312858,0.7427967888098187,0.3006755447588443
2003,105676,0.5883019899186346,0.4380738088309375,0.7184705153823872,0.4369410307647743,1.002592519325046,0.7446410454799337,0.720613246219488,0.44122649243897594,0.339825689766812,0.40848342574367824,0.06865773597686625,0.02360597791057547,4.03150176035354e-05,3.085242299759836e-05,10.8625351193525,0.060994973313664436,0.7055979690138221,0.292266112585165
2004,110351,0.5835216952670244,0.43393637954242475,0.716372591667863,0.4327451833357261,1.0027526504108413,0.7436508069230432,0.7188206357251341,0.43764127145026827,0.33105138123652655,0.411021454433128,0.07997007319660143,0.027845668195438253,4.087131627152582e-05,3.1809611435243724e-05,10.908974384956768,0.06049621834434038,0.7024470887622685,0.28717475402150494
2005,114576,0.5795971476217232,0.43066132700450527,0.7146009035919015,0.4292018071838031,1.0034005444438336,0.7430356218481227,0.7173489303581462,0.4346978607162924,0.32681505292753743,0.4106105743983949,0.08379552147085745,0.029485651167320683,3.814263193228646e-05,2.94150573534685e-05,10.957185243569784,0.059387824838785574,0.6918083936769366,0.2830203030959617
2006,116334,0.5716294678824787,0.4237384370000697,0.7109946449309222,0.4219892898618445,1.0041450036298265,0.7412816532530231,0.7143610504559295,0.428722100911859,0.31958054263593305,0.4086619168402022,0.08908137420426915,0.03202170991105154,3.855672542618467e-05,2.996104369121202e-05,10.988292098682065,0.057948881897516236,0.6759285444769961,0.27567200860371643
2007,115112,0.5668787248531242,0.4180726566380842,0.7082489914939346,0.4164979829878692,1.0037807473614124,0.7374992891934778,0.7125795218199216,0.42515904363984314,0.32311334467649544,0.40465622468954143,0.08154288001304599,0.029723107957890096,3.63291243333933e-05,2.764217286154729e-05,10.991339231267528,0.05683378158185115,0.6623216151757265,0.27383864937726576
2008,114822,0.5606321190511345,0.41306086307479456,0.7056285882145715,0.41125717642914306,1.0043857876507165,0.7367770219335575,0.7102370446441755,0.4204740892883509,0.3147678316332487,0.40435976143878266,0.08959192980553399,0.033194238846263935,3.953792777858051e-05,3.082906387674877e-05,10.996601571287854,0.056177927802635086,0.654536810850266,0.267858605137979
2009,117827,0.5559048100990263,0.4087625735559402,0.7034998610165563,0.4069997220331125,1.0043313334810686,0.7353103735208284,0.7084643037871349,0.4169286075742697,0.31426612652097685,0.3996063213328977,0.08534019481192084,0.03202153268755384,3.542609763139552e-05,2.6939307161530054e-05,11.039339506204888,0.054606038288585235,0.6376332197693131,0.26334586841225893
2011,106449,0.543329434975893,0.3971896076894423,0.6976467598772985,0.39529351975459703,1.0047966582807184,0.7310290628871693,0.7037485381159598,0.4074970762319198,0.3079425400934414,0.39386314902889513,0.08592060893545372,0.03335679540546427,3.6995427360143815e-05,2.7601516675371533e-05,10.968002149771412,0.05247490453530923,0.6074191264243605,0.2534450430516515
2012,110509,0.5401214311993894,0.3942051599566483,0.6961898926489731,0.39237978529794626,1.0046520609039937,0.7298454332413351,0.702545536699771,0.40509107339954203,0.3030118978482655,0.3954987020280126,0.09248680417974714,0.03621748552347669,5.0136134964755676e-05,4.10874700367411e-05,10.98663837352201,0.05392420896054362,0.6262138710650286,0.25288283468927875
2013,111029,0.5363271946845505,0.3911144388702213,0.6945425916919177,0.38908518338383535,1.0052154529985895,0.7292459579646369,0.7011226980067065,0.40224539601341286,0.30679621707159566,0.38724009804923776,0.0804438809776421,0.03182092075792915,3.272761520337614e-05,2.3721172933094797e-05,11.031233943168782,0.050467863743473895,0.586312764264169,0.24821134856882288
2014,115021,0.5259931339361714,0.38402126555967775,0.6910656104849885,0.382131220969977,1.0049460616824326,0.730087981730724,0.6972474252260643,0.39449485045212856,0.28954885432910243,0.38429658609311557,0.09474773176401313,0.03845690094361834,3.553212994037375e-05,2.683829871215206e-05,11.083907448330441,0.04882595884708352,0.5689625510396598,0.23499342634766907
2015,115626,0.5234182113696164,0.381555739337913,0.6897830072964487,0.3795660145928974,1.0052421045839672,0.7289691704449962,0.6962818292636062,0.3925636585272123,0.2903498321002224,0.38191195185474436,0.09156211975452194,0.037432176865743745,2.9849917794501753e-05,2.12015273073043e-05,11.102154128924674,0.04768883656804068,0.5559619945013031,0.23239853407678768
2016,229889,0.4857114932158748,0.3539259638359351,0.6748776872174425,0.3497553744348849,1.0119243039732808,0.7286752913599112,0.6821418099559531,0.3642836199119061,0.2506351174403156,0.3689870015516719,0.11835188411135633,0.05346488553583983,1.3145824749625613e-05,8.79593761251863e-06,11.86089410230675,0.03924211847480441,0.48445776040987165,0.2032874514918136
