year,total,income_n,income_n_missing,income_n_zero,income_n_positive,income_zero_fraction,income_missing_fraction,income_sum,income_xmin,income_xmax,income_mean,income_median,income_std,income_gini,income_pietra,income_k,income_zanardi,income_legacy_z,income_top_10_share,income_top_1_share,income_top_0_1_share,income_herfindahl,income_herfindahl_normalized,income_shannon_entropy,income_shannon_inequality,income_theil,income_atkinson_0.5,income_gini_poor,income_gini_rich,income_delta_gini,income_kolkata_excess,income_pietra_over_kolkata_excess,income_pietra_over_gini,income_kolkata_small_g_prediction,income_pietra_small_g_prediction,income_adj_n,income_adj_n_missing,income_adj_n_zero,income_adj_n_positive,income_adj_zero_fraction,income_adj_missing_fraction,income_adj_sum,income_adj_xmin,income_adj_xmax,income_adj_mean,income_adj_median,income_adj_std,income_adj_gini,income_adj_pietra,income_adj_k,income_adj_zanardi,income_adj_legacy_z,income_adj_top_10_share,income_adj_top_1_share,income_adj_top_0_1_share,income_adj_herfindahl,income_adj_herfindahl_normalized,income_adj_shannon_entropy,income_adj_shannon_inequality,income_adj_theil,income_adj_atkinson_0.5,income_adj_gini_poor,income_adj_gini_rich,income_adj_delta_gini,income_adj_kolkata_excess,income_adj_pietra_over_kolkata_excess,income_adj_pietra_over_gini,income_adj_kolkata_small_g_prediction,income_adj_pietra_small_g_prediction
1976,148396,148396,0,0,148396,0.0,0.0,335039960.0,1.0,999999.0,2257.742526752743,1000.0,8285.144327925911,0.6216953545493,0.470887364044834,0.733713867528955,0.0443866999180438,-0.09055607043594059,0.5201841266934248,0.18273519373629366,0.06634012850288185,9.748445814160788e-05,9.074634354514669e-05,10.987400262867569,0.0772814276343009,0.9202393923066801,0.32897485273612237,0.32417346318146706,0.46541264783047964,0.14123918464901258,0.4674277350579099,1.007401420000239,0.757424614160428,0.7331357579559875,0.466271515911975,148396,0,0,148396,0.0,0.0,166713061.7404632,0.49759157606293647,497591.0784713604,1123.4336622312137,497.5915760629364,4122.618024041552,0.6216953545493,0.470887364044854,0.7337138675289356,0.04438669991808031,-0.0905560704359151,0.5201841266935365,0.18273519373634983,0.06634012850293902,9.748445814160785e-05,9.074634354514666e-05,10.987400262867567,0.07728142763430101,0.9202393923066801,0.32897485273612226,0.3241734631815428,0.465412647830665,0.14123918464912222,0.4674277350578713,1.0074014200003651,0.75742461416046,0.7331357579559875,0.466271515911975
1977,193886,193886,0,0,193886,0.0,0.0,1534116623.0,1.0,1119000.0,7912.467238480344,1316.0,69386.84298927562,0.848689224891682,0.7131317987193442,0.8471199621392742,0.06291241826639343,-0.02229260508228059,0.8112743837989167,0.6590351364701951,0.12650068528329417,0.0004017841590842848,0.00039662853479235444,9.245366776288337,0.24062855780745207,2.929658860169638,0.6824057154644243,0.3901551190626899,0.8024323685956682,0.41227724953297834,0.6942399242785484,1.027212313467031,0.8402743640469349,0.8182584593343807,0.6365169186687615,193886,0,0,193886,0.0,0.0,543514816.9135294,0.35428520150617615,396445.1404854111,2803.2700499960256,466.23932518212774,24582.73165033292,0.848689224891682,0.7131317987194316,0.8471199621393279,0.06291241826639588,-0.02229260508227955,0.8112743837990181,0.6590351364702638,0.126500685283376,0.00040178415908428494,0.0003966285347923546,9.24536677628834,0.24062855780745185,2.9296588601696385,0.6824057154644241,0.3901551190625811,0.8024323685956942,0.4122772495331131,0.6942399242786559,1.027212313466998,0.8402743640470378,0.8182584593343807,0.6365169186687615
1978,216329,216329,0,0,216329,0.0,0.0,1577171537.0,1.0,1099998.0,7290.615391371476,2000.0,54720.424266702576,0.7682535500644223,0.6083818473471619,0.7986327907362493,0.06723231281359414,-0.042284839841336005,0.7033648915007017,0.47767096116444807,0.1373194187126614,0.00026503026697185595,0.00026040888199287484,10.121035406555764,0.1761170958483872,2.163520269445092,0.5498481331544252,0.3710286379024498,0.692207339572548,0.3211787016700982,0.5972655814724985,1.0186119311400088,0.791902422443926,0.7880950812741584,0.5761901625483168,216329,0,0,216329,0.0,0.0,403678473.83529013,0.25595089967394596,281545.4777395412,1866.039568598247,511.90179934789194,14005.741821602553,0.7682535500644221,0.6083818473474776,0.7986327907363938,0.06723231281364264,-0.04228483984133028,0.7033648915010233,0.47767096116477337,0.13731941871297526,0.00026503026697185595,0.00026040888199287484,10.121035406555766,0.17611709584838708,2.1635202694450926,0.5498481331544249,0.37102863790228935,0.6922073395727917,0.32117870167050233,0.5972655814727876,1.0186119311400441,0.791902422444337,0.7880950812741583,0.5761901625483166
1979,171371,171371,0,0,171371,0.0,0.0,1721207712.0,1.0,1029998.0,10043.751346493864,3000.0,58426.34168721229,0.7288355532327915,0.566076183788813,0.7794482264194571,0.06498071562418689,-0.05354310205690975,0.6524295267624272,0.40059629479512804,0.09959334218286497,0.00020329824195360776,0.00019746410119526005,10.30339352438582,0.14505912670412935,1.7481925515791186,0.48649930009053055,0.3565231212556323,0.6320197012453158,0.2754965799896835,0.5588964528389142,1.0128462632271673,0.776685743825133,0.7733133324622968,0.5466266649245937,171371,0,0,171371,0.0,0.0,260532431.5973433,0.1513660610401351,155906.7401392171,1520.2830793853295,454.0981831204054,8843.765202178367,0.7288355532327921,0.5660761837885986,0.7794482264193848,0.06498071562412472,-0.05354310205692109,0.6524295267622234,0.40059629479492864,0.0995933421826588,0.00020329824195360782,0.00019746410119526013,10.303393524385822,0.14505912670412924,1.748192551579119,0.48649930009053055,0.35652312125576996,0.6320197012451254,0.27549657998935545,0.5588964528387697,1.0128462632270456,0.7766857438248381,0.773313332462297,0.5466266649245941
1981,479110,472198,6912,0,472198,0.0,0.014426749598213355,4834423856.187634,0.09090909090909091,830000.0,10238.12861593576,5000.0,17716.634593001138,0.588486655721123,0.44180024835598664,0.7205455417455862,0.022066752388014296,-0.10897006526325484,0.47029748235265734,0.12589107111681486,0.027128340915363647,8.45931751038932e-06,6.34157525306348e-06,12.374811865337033,0.052838399021514104,0.6903418027941117,0.28466426606220996,0.33375498407536636,0.3982464967072476,0.06449151263188124,0.4410910834911723,1.0016077515310475,0.7507396201101808,0.7206824958954211,0.44136499179084226,472198,6912,0,472198,0.0,0.014426749598213355,159921173.77980775,0.003007243253367068,27456.13090324133,338.6739752811485,165.39837893518873,586.0605283738952,0.5884866557211235,0.4418002483560832,0.7205455417456132,0.022066752388119316,-0.10897006526322639,0.47029748235282653,0.12589107111701903,0.027128340915561266,8.45931751038932e-06,6.34157525306348e-06,12.374811865337033,0.052838399021514104,0.6903418027941116,0.2846642660622102,0.3337549840753021,0.3982464967074941,0.06449151263219205,0.4410910834912265,1.0016077515311435,0.7507396201103443,0.7206824958954213,0.4413649917908426
1982,206845,206845,0,0,206845,0.0,0.0,10204981737.0,1.0,5150000.0,49336.371374700866,25000.0,88324.41086880892,0.5898439323148561,0.44197560748809456,0.7204863199960878,0.026502594490490868,-0.10688260683214772,0.4757140923044064,0.12898897126169362,0.02789312066752192,2.0329123434920693e-05,1.5494660405407797e-05,11.535740907168265,0.05751633246277754,0.7039840923237529,0.2889110089998247,0.33080512434665726,0.4084292462764805,0.07762412192982321,0.4409726399921756,1.002274443820226,0.7493094075810038,0.721191474618071,0.4423829492361421,206845,0,0,206845,0.0,0.0,167590895.21663922,0.016422459102401747,84575.664377369,810.2245411619291,410.56147756004367,1450.5040252367428,0.5898439323148561,0.4419756074881367,0.7204863199960962,0.026502594490520497,-0.10688260683214089,0.47571409230441075,0.12898897126164066,0.027893120667474514,2.03291234349207e-05,1.5494660405407807e-05,11.535740907168265,0.05751633246277754,0.703984092323753,0.2889110089998247,0.3308051243465719,0.4084292462764833,0.07762412192991142,0.4409726399921925,1.002274443820283,0.7493094075810752,0.721191474618071,0.4423829492361421
1983,508216,499797,8419,3,499794,6.002436989417704e-06,0.01656579092354432,21847634129.00498,5.0,7000000.0,43713.015742401374,20428.571428571428,81150.83862496793,0.5984475364064354,0.45192795088666077,0.7255842192606875,0.02168100371519114,-0.10603330848091104,0.4788964464965827,0.13248846452116947,0.030577189627159274,8.896379160771625e-06,6.895580627728465e-06,12.399176404530333,0.05508178956740484,0.7227808904336827,0.29441785290679445,0.33725821772341996,0.4024223409215477,0.06516412319812775,0.451168438521375,1.0016834341687884,0.755167200788231,0.7244178261524132,0.4488356523048266,499797,8419,3,499794,6.002436989417704e-06,0.01656579092354432,100598147.52274218,0.023022663902355404,32231.729463297568,201.27801391913553,94.06402680105208,373.6616966113836,0.5984475364064352,0.45192795088660254,0.725584219260646,0.021681003715102502,-0.1060333084809258,0.47889644649646923,0.13248846452103713,0.030577189627028822,8.896379160771625e-06,6.895580627728465e-06,12.39917640453033,0.05508178956740517,0.7227808904336829,0.2944178529067947,0.3372582177235193,0.4024223409213745,0.0651641231978552,0.45116843852129196,1.0016834341688436,0.7551672007881339,0.7244178261524132,0.4488356523048264
1984,511389,504543,6846,33,504510,6.540572359541209e-05,0.013387069334694333,62435643305.11872,2.5,9999998.0,123746.92207625261,60000.0,213075.30715878782,0.5907641612179759,0.44505261498723514,0.7221229118194434,0.024184741006162098,-0.10733887123456311,0.47411982989107937,0.12635455451939992,0.025614284346508254,7.858216253035619e-06,5.876236275583302e-06,12.435780021193828,0.05297438845979918,0.6956283268537208,0.28622595974251164,0.3294875133109905,0.40068943544032254,0.07120192212933202,0.44424582363888687,1.001816092139572,0.7533507348679921,0.721536560456741,0.44307312091348194,504543,6846,33,504510,6.540572359541209e-05,0.013387069334694333,87732006.18258373,0.003512897502867209,14051.587201150835,173.88410141966835,84.30954006881302,299.40468577630776,0.5907641612179759,0.44505261498707505,0.7221229118193508,0.02418474100606539,-0.10733887123455124,0.4741198298908925,0.12635455451926036,0.025614284346361815,7.858216253035619e-06,5.876236275583302e-06,12.435780021193828,0.05297438845979918,0.6956283268537208,0.28622595974251175,0.3294875133111678,0.4006894354402005,0.0712019221290327,0.4442458236387017,1.0018160921396293,0.7533507348677211,0.721536560456741,0.44307312091348194
1985,519783,514137,5646,0,514137,0.0,0.010862225197822938,243010427915.47827,4.0,75000000.0,472656.95313793456,223333.33333333334,900141.4286116081,0.6020969269730709,0.45355558839800614,0.7264272010686054,0.02241790692054757,-0.10477631339001031,0.48381655609752516,0.13734837166333302,0.0329598601468597,8.999238162819157e-06,7.054245007774894e-06,12.410638374637212,0.05624280526100889,0.7396066712504032,0.2992855737727639,0.3415294076896976,0.40944921741179635,0.06791980972209877,0.45285440213721073,1.0015483701990888,0.7532933122216244,0.7257863476149016,0.4515726952298032,514137,5646,0,514137,0.0,0.010862225197822938,97686971.40068725,0.0016079469879319557,30149.00602372417,190.0018310308094,89.7770401595342,361.8449247122007,0.6020969269730709,0.45355558839791854,0.7264272010685632,0.022417906920512383,-0.10477631339000287,0.483816556097423,0.13734837166333014,0.03295986014687036,8.999238162819154e-06,7.054245007774891e-06,12.410638374637212,0.05624280526100889,0.7396066712504028,0.2992855737727642,0.3415294076897838,0.40944921741176943,0.06791980972198564,0.45285440213712636,1.001548370199082,0.753293312221479,0.7257863476149016,0.4515726952298032
1986,287320,284142,3178,0,284142,0.0,0.011060838089934568,377677011.030303,0.16666666666666666,334666.6666666667,1329.1840383692063,652.25,2830.9573725994533,0.5930790055733721,0.44469545804926214,0.721918005548659,0.024300114921456353,-0.10680111697482676,0.4754459450184656,0.13895164120429826,0.037182041241290764,1.9484019356535257e-05,1.5964708465179756e-05,11.827511709110063,0.05811136041912812,0.729717683074933,0.29158701584530466,0.3358144342951111,0.4076038030803812,0.07178936878527009,0.4438360110973181,1.0019364065340692,0.7498081265232834,0.7224046270900145,0.4448092541800291,284142,3178,0,284142,0.0,0.011060838089934568,80438704.98606908,0.03549713231006227,71278.24167860505,283.0933300464876,138.9180272954287,602.9452105158542,0.5930790055733719,0.44469545804928085,0.7219180055486722,0.02430011492144605,-0.10680111697483846,0.4754459450184376,0.13895164120433368,0.037182041241316854,1.9484019356535253e-05,1.596470846517975e-05,11.827511709110063,0.05811136041912812,0.7297176830749329,0.29158701584530433,0.335814434295099,0.4076038030803407,0.07178936878524173,0.4438360110973445,1.0019364065340517,0.7498081265233153,0.7224046270900144,0.4448092541800289
