year,n,n_missing,n_zero,minimum,q25,median,mean,std,q75,p95,p99,p99_9,iqr_upper,maximum,missing_income_code,metadata_sentinel_count,repeated_upper_tail_candidates,suggested_cutoff,cutoff_reason
1976.0,148396.0,0.0,0.0,1.0,560.0,1000.0,2257.742526752743,8285.144327925911,2000.0,8000.0,20000.0,60000.0,4160.0,999999.0,9999999.0,0,108,20000.0,repeated upper-tail value; inspect before exclusion
1977.0,193886.0,0.0,0.0,1.0,750.0,1316.0,7912.467238480344,69386.84298927562,3000.0,12000.0,40000.0,999999.0,6375.0,1119000.0,999999999.0,0,90,40000.0,repeated upper-tail value; inspect before exclusion
1978.0,216329.0,0.0,0.0,1.0,1000.0,2000.0,7290.615391371476,54720.424266702576,4140.0,16000.0,46977.040000000095,999999.0,8850.0,1099998.0,999999999.0,0,111,47000.0,repeated upper-tail value; inspect before exclusion
1979.0,171371.0,0.0,0.0,1.0,1709.0,3000.0,10043.751346493864,58426.34168721229,6900.0,25000.0,70000.0,999999.0,14686.5,1029998.0,999999999.0,0,91,70000.0,repeated upper-tail value; inspect before exclusion
1981.0,472198.0,6912.0,0.0,0.09090909090909091,2560.0,5000.0,10238.12861593576,17716.634593001138,10482.0,36972.0,82000.0,197000.0,22365.0,830000.0,9999999.0,0,701,82000.0,repeated upper-tail value; inspect before exclusion
1982.0,206845.0,0.0,0.0,1.0,13000.0,25000.0,49336.371374700866,88324.41086880892,50000.0,180000.0,404000.0,910000.0,105500.0,5150000.0,9999999.0,0,166,404000.0,repeated upper-tail value; inspect before exclusion
1983.0,499797.0,8419.0,3.0,0.0,10462.666666666666,20428.571428571428,43713.015742401374,81150.83862496793,44782.28571428572,158580.0,350000.0,850000.0,96261.71428571429,7000000.0,9999999.0,0,849,350000.0,repeated upper-tail value; inspect before exclusion
1984.0,504543.0,6846.0,33.0,0.0,31000.0,60000.0,123746.92207625261,213075.30715878782,125827.9,450000.0,1000875.0,2334075.1406666413,268069.75,9999998.0,9999999.0,2,941,9999998.0,metadata sentinel observed
1985.0,514137.0,5646.0,0.0,4.0,112500.0,223333.33333333334,472656.95313793456,900141.4286116081,482333.3333333333,1700000.0,3945001.7600001856,10000000.0,1037083.3333333333,75000000.0,999999999.0,0,845,3949784.0,repeated upper-tail value; inspect before exclusion
1986.0,284142.0,3178.0,0.0,0.16666666666666666,333.3333333333333,652.25,1329.1840383692063,2830.9573725994533,1350.5,4700.0,10400.0,28800.64999999886,2876.25,334666.6666666667,999999999.0,0,452,10400.0,repeated upper-tail value; inspect before exclusion
1987.0,292615.0,3893.0,0.0,3.0,937.3333333333334,1916.6666666666667,4000.636700914002,7741.134848936022,4040.0,14241.0,33750.0,88750.0,8694.0,500000.0,999999999.0,0,511,33750.0,repeated upper-tail value; inspect before exclusion
1988.0,289633.0,3994.0,0.0,2.5,6457.142857142857,13333.333333333334,29877.355418587245,62085.83170904581,29211.666666666668,109480.0,265430.0,692330.6666667728,63343.45238095238,4500000.0,999999999.0,0,587,265430.0,repeated upper-tail value; inspect before exclusion
1989.0,113568.0,187018.0,50.0,0.0,498.4,1040.8,2958.627834103776,8534.331979992949,2567.625,10668.666666666666,30002.0,100002.66666666667,5671.4625,625002.0,999999999.0,0,96,30002.0,repeated upper-tail value; inspect before exclusion
1990.0,115785.0,190009.0,196.0,0.0,14000.6,31501.5,80747.4011213423,211427.28391755544,76251.25,300001.5,750003.5,2100007.0,169627.225,25000004.0,999999999.0,0,103,750003.5,repeated upper-tail value; inspect before exclusion
1992.0,76440.0,0.0,1118.0,0.0,202836.16964285716,415000.0,790108.087158418,1583958.8649833836,816152.5,2668880.68,6129358.365000002,16356590.000000287,1736126.9955357143,125500000.0,999999999999.0,0,80,6150000.0,repeated upper-tail value; inspect before exclusion
1993.0,77843.0,0.0,1025.0,0.0,4275.0,8666.666666666666,17499.86112474671,38989.91766117366,17142.85714285714,60666.666666666664,152452.25000000015,405192.7599999949,36444.642857142855,4017500.0,999999999999.0,0,74,152500.0,repeated upper-tail value; inspect before exclusion
1995.0,83455.0,0.0,1209.0,0.0,60.0,118.0,251.17817743922058,486.0617795082694,250.0,900.0,2166.6666666666665,5624.297000000093,535.0,23000.0,999999999999.0,0,81,2166.6666666666665,repeated upper-tail value; inspect before exclusion
1996.0,82551.0,0.0,1677.0,0.0,66.66666666666667,132.0,283.7468729715608,541.8219154288261,288.5,1000.0,2430.75,6072.4999999998545,621.25,30000.0,999999999999.0,0,98,2441.0,repeated upper-tail value; inspect before exclusion
1997.0,87988.0,0.0,1514.0,0.0,70.0,138.33333333333334,296.8638742859821,602.6969891096128,300.0,1050.0,2500.0,6750.260000000126,645.0,53820.0,999999999999.0,0,104,2500.0,repeated upper-tail value; inspect before exclusion
1998.0,88562.0,0.0,1432.0,0.0,75.0,144.66666666666666,312.3489798541759,625.4432112744173,306.6666666666667,1100.0,2767.9874999999993,6731.29999999995,654.1666666666667,40500.0,999999999999.0,0,102,2775.0,repeated upper-tail value; inspect before exclusion
1999.0,91737.0,0.0,1365.0,0.0,75.0,147.5,312.3955307807227,586.008998362155,308.5,1115.0,2666.6666666666665,6728.859999999768,658.75,28445.0,999999999999.0,0,94,2666.6666666666665,repeated upper-tail value; inspect before exclusion
2001.0,101423.0,0.0,1885.0,0.0,90.0,180.0,360.8100437669634,696.2172897722613,360.0,1250.0,3150.0,7864.449999999852,765.0,40000.0,999999999999.0,0,108,3150.0,repeated upper-tail value; inspect before exclusion
2002.0,103915.0,0.0,1415.0,0.0,100.0,200.0,395.4087221552092,872.0366451525754,400.0,1400.0,3358.600000000006,8000.0,850.0,154000.0,999999999999.0,0,108,3366.6666666666665,repeated upper-tail value; inspect before exclusion
2003.0,105676.0,0.0,1663.0,0.0,114.125,232.0,429.6820416424124,775.8540375791118,440.0,1500.0,3600.0,9000.0,928.8125,38000.0,999999999999.0,0,106,3600.0,repeated upper-tail value; inspect before exclusion
2004.0,110351.0,0.0,1337.0,0.0,130.0,260.0,475.56951908002645,891.0074390093745,493.0,1625.0,4000.0,10000.0,1037.5,61250.0,999999999999.0,0,124,4000.0,repeated upper-tail value; inspect before exclusion
2005.0,114576.0,0.0,1253.0,0.0,150.0,295.0,528.1295733836056,969.5543630883552,537.0,1800.0,4302.75,10500.0,1117.5,64533.0,999999999999.0,0,133,4333.0,repeated upper-tail value; inspect before exclusion
2006.0,116334.0,0.0,1106.0,0.0,170.0,330.0,587.8893014939742,1097.557688482805,600.0,2000.0,4850.0,11741.675000000032,1245.0,100000.0,999999999999.0,0,117,4850.0,repeated upper-tail value; inspect before exclusion
2007.0,115112.0,0.0,1891.0,0.0,187.0,365.0,628.2308708040864,1120.6388194434421,650.0,2033.0,5000.0,12133.349999999336,1344.5,60000.0,999999999999.0,0,124,5000.0,repeated upper-tail value; inspect before exclusion
2008.0,114822.0,0.0,1576.0,0.0,207.0,415.0,709.2156294089983,1334.3538722220633,733.0,2329.0,5538.739999999962,14868.640000000596,1522.0,150000.0,999999999999.0,0,118,5550.0,repeated upper-tail value; inspect before exclusion
2009.0,117827.0,0.0,1625.0,0.0,232.0,451.0,760.8806046152409,1355.6017941113585,797.0,2500.0,6000.0,15000.0,1644.5,94669.0,999999999999.0,0,125,6000.0,repeated upper-tail value; inspect before exclusion
2011.0,106449.0,0.0,1713.0,0.0,281.0,545.0,900.5493053011302,1543.6355146753342,950.0,2900.0,7000.0,16000.0,1953.5,125000.0,999999999999.0,0,105,7000.0,repeated upper-tail value; inspect before exclusion
2012.0,110509.0,0.0,1758.0,0.0,325.0,622.0,1025.236650408564,2184.6287651258435,1074.0,3200.0,7500.0,19000.0,2197.5,220000.0,999999999999.0,0,108,7500.0,repeated upper-tail value; inspect before exclusion
2013.0,111029.0,0.0,2165.0,0.0,357.0,678.0,1109.5523601941834,1800.6698609186542,1189.0,3500.0,8333.0,19794.39999999886,2437.0,82000.0,999999999999.0,0,118,8333.0,repeated upper-tail value; inspect before exclusion
2014.0,115021.0,0.0,782.0,0.0,406.0,724.0,1225.5892923900853,2153.3321206219152,1300.0,3866.0,9000.0,20000.0,2641.0,331200.0,999999999999.0,0,118,9000.0,repeated upper-tail value; inspect before exclusion
2015.0,115626.0,0.0,685.0,0.0,416.0,788.0,1250.0463909501323,1957.210131714451,1333.0,3950.0,9250.0,21835.25,2708.5,150000.0,999999999999.0,0,112,9250.0,repeated upper-tail value; inspect before exclusion
2016.0,229889.0,0.0,0.0,6.0,880.0,1100.0,1775.7649909304055,2525.141127494135,2000.0,5000.0,12000.0,30000.0,3680.0,165000.0,999999999999.0,0,64,12000.0,repeated upper-tail value; inspect before exclusion
2017.0,228566.0,0.0,0.0,5.0,930.0,1200.0,1882.2270153916156,2841.055090773241,2000.0,5300.0,13000.0,30000.0,3605.0,200000.0,999999999999.0,0,82,13000.0,repeated upper-tail value; inspect before exclusion
2018.0,227265.0,0.0,0.0,5.0,950.0,1200.0,1974.5220689503444,3095.09728403423,2000.0,6000.0,15000.0,32000.0,3575.0,265000.0,999999999999.0,0,64,15000.0,repeated upper-tail value; inspect before exclusion
2019.0,225221.0,0.0,0.0,4.0,998.0,1200.0,2052.5358869732395,3253.447200246764,2000.0,6000.0,15000.0,33655.99999999977,3503.0,260000.0,999999999999.0,0,65,15000.0,repeated upper-tail value; inspect before exclusion
2020.0,132967.0,0.0,0.0,10.0,1000.0,1400.0,2272.29911933036,3595.1209998253576,2400.0,7000.0,16000.0,40000.0,4500.0,320000.0,999999999999.0,0,56,16000.0,repeated upper-tail value; inspect before exclusion
2021.0,172588.0,0.0,0.0,2.0,1000.0,1400.0,2203.4229262752915,3478.5929886440817,2225.0,6000.0,15000.0,38000.0,4062.5,300000.0,999999999999.0,0,71,15000.0,repeated upper-tail value; inspect before exclusion
2022.0,205341.0,0.0,0.0,4.0,1200.0,1500.0,2519.5400090581034,4441.470078294713,2500.0,7500.0,18000.0,45000.0,4450.0,900000.0,999999999999.0,0,59,18000.0,repeated upper-tail value; inspect before exclusion
2023.0,201858.0,0.0,0.0,8.0,1320.0,1600.0,2734.9364850538495,4167.409914080789,3000.0,8000.0,20000.0,45000.0,5520.0,300000.0,999999999999.0,0,64,20000.0,repeated upper-tail value; inspect before exclusion
2024.0,208303.0,0.0,0.0,8.0,1412.0,1800.0,2971.103992741343,4422.605710128643,3000.0,9000.0,20000.0,50000.0,5382.0,300000.0,999999999999.0,0,69,20000.0,repeated upper-tail value; inspect before exclusion
2025.0,215405.0,0.0,0.0,10.0,1518.0,2000.0,3258.793672384578,4876.859643586298,3408.0,10000.0,22000.0,50000.0,6243.0,400000.0,999999999999.0,0,60,22000.0,repeated upper-tail value; inspect before exclusion
