year,rank,value,count,frequency
1976,1,1000.0,6592,0.044421682525135446
1976,2,800.0,6061,0.040843418960079786
1976,3,2000.0,5934,0.03998760074395536
1976,4,600.0,5793,0.03903744036227392
1976,5,1200.0,5386,0.03629477883500903
1976,6,1500.0,5322,0.03586350036389121
1976,7,500.0,4884,0.03291193832717863
1976,8,768.0,4410,0.029717782150462276
1976,9,400.0,4368,0.02943475565379121
1976,10,300.0,4156,0.02800614571821343
1976,11,3000.0,4116,0.027736596673764793
1976,12,200.0,3156,0.021267419606997493
1976,13,700.0,2893,0.019495134639747703
1976,14,384.0,2658,0.017911534003611958
1976,15,2500.0,2611,0.01759481387638481
1976,16,900.0,2537,0.01709614814415483
1976,17,1800.0,2200,0.014825197444675059
1976,18,4000.0,2192,0.014771287635785332
1976,19,5000.0,2176,0.014663468018005877
1976,20,1300.0,1829,0.012325130057413947
1976,21,1600.0,1761,0.011866896681851263
1976,22,1400.0,1390,0.009366829294590151
1976,23,6000.0,1372,0.009245532224588264
1976,24,3500.0,1295,0.008726650314024637
1976,25,1100.0,1253,0.008443623817353568
1976,26,150.0,1241,0.008362759104018977
1976,27,250.0,1238,0.008342542925685328
1976,28,100.0,1221,0.008227984581794658
1976,29,450.0,1188,0.008005606620124532
1976,30,350.0,1077,0.007257608021779563
1976,31,10000.0,1056,0.007116094773444028
1976,32,750.0,1040,0.007008275155664573
1976,33,602.0,1007,0.006785897193994447
1976,34,8000.0,964,0.006496131971212162
1976,35,712.0,927,0.006246799105097172
1976,36,2200.0,863,0.005815520633979353
1976,37,1700.0,846,0.005700962290088682
1976,38,2800.0,741,0.0049933960484110085
1976,39,7000.0,706,0.004757540634518451
1976,40,650.0,680,0.004582333755626836
1976,41,2400.0,665,0.004481252863958597
1976,42,480.0,660,0.004447559233402517
1976,43,850.0,626,0.004218442545621176
1976,44,4500.0,598,0.0040297582145071295
1976,45,2600.0,595,0.004009542036173481
1976,46,544.0,594,0.004002803310062266
1976,47,2300.0,590,0.003975848405617402
1976,48,380.0,559,0.003766947896169708
1976,49,15000.0,535,0.0036052184695005256
1976,50,2100.0,532,0.003585002291166878
1977,1,2000.0,8160,0.04208658696347338
1977,2,1200.0,7801,0.040234983443879394
1977,3,1500.0,7217,0.03722290418080728
1977,4,1000.0,7217,0.03722290418080728
1977,5,3000.0,6466,0.033349494032575845
1977,6,800.0,6452,0.03327728665298165
1977,7,600.0,5981,0.030848024096634105
1977,8,500.0,5537,0.028558018629503936
1977,9,400.0,4645,0.023957377015359542
1977,10,300.0,4220,0.021765367277678634
1977,11,2500.0,4053,0.020904036392519317
1977,12,4000.0,3833,0.01976934899889626
1977,13,554.0,3824,0.019722929969157133
1977,14,1106.0,3533,0.01822204800759209
1977,15,5000.0,3361,0.0173349287725777
1977,16,1800.0,3279,0.01691199983495456
1977,17,200.0,3062,0.015792785451244545
1977,18,900.0,2897,0.014941769906027254
1977,19,700.0,2712,0.013987600961389682
1977,20,1600.0,2690,0.013874132222027376
