year,n_refined,n_metadata_sentinel,n_statistical_outlier,n_removed,n_trusted,removal_rate,method,parameter,statistical_cutoff
1976,148396,0,9,9,148387,6.064853500094342e-05,log_mad,6.0,472517.6808766022
1977,193886,0,927,927,192959,0.00478116006312988,log_mad,6.0,694514.5162504349
1978,216329,0,634,634,215695,0.002930721262521437,log_mad,6.0,950875.3648027969
1979,171371,0,0,0,171371,0.0,log_mad,6.0,1425020.1114974446
1981,479110,0,0,0,479110,0.0,log_mad,6.0,2379648.5912030186
1982,206845,0,0,0,206845,0.0,log_mad,6.0,11904811.115266629
1983,508216,0,0,0,508216,0.0,log_mad,6.0,11743975.755541047
1984,511389,0,0,0,511389,0.0,log_mad,6.0,28573846.604990292
1985,519783,0,0,0,519783,0.0,log_mad,6.0,133769200.6337102
1986,287320,0,0,0,287320,0.0,log_mad,6.0,343586.95855524036
1987,296508,0,0,0,296508,0.0,log_mad,6.0,1330413.9757580613
1988,293627,0,0,0,293627,0.0,log_mad,6.0,10604568.424470395
1989,300586,0,0,0,300586,0.0,log_mad,6.0,2465140.2579167406
1990,305794,0,0,0,305794,0.0,log_mad,6.0,70723711.99477115
1992,76440,0,0,0,76440,0.0,log_mad,6.0,200695378.98954552
1993,77843,0,0,0,77843,0.0,log_mad,6.0,4125928.1563061425
1995,83455,0,0,0,83455,0.0,log_mad,6.0,61091.98656656969
1996,82551,0,0,0,82551,0.0,log_mad,6.0,87015.0090858066
1997,87988,0,0,0,87988,0.0,log_mad,6.0,85985.24906513945
1998,88562,0,0,0,88562,0.0,log_mad,6.0,87033.8635160188
1999,91737,0,0,0,91737,0.0,log_mad,6.0,79661.2797475169
2001,101423,0,0,0,101423,0.0,log_mad,6.0,82078.65001312198
2002,103915,0,1,1,103914,9.623249771447819e-06,log_mad,6.0,91592.7190122804
2003,105676,0,0,0,105676,0.0,log_mad,6.0,86275.34844628305
2004,110351,0,0,0,110351,0.0,log_mad,6.0,110235.54593062724
2005,114576,0,0,0,114576,0.0,log_mad,6.0,117924.28203989312
2006,116334,0,1,1,116333,8.595939278284938e-06,log_mad,6.0,91205.83962329943
2007,115112,0,0,0,115112,0.0,log_mad,6.0,118616.27501061746
2008,114822,0,1,1,114821,8.709132396230688e-06,log_mad,6.0,119454.87099954819
2009,117827,0,0,0,117827,0.0,log_mad,6.0,121538.40099146667
2011,106449,0,1,1,106448,9.394169978111585e-06,log_mad,6.0,119916.66124805222
2012,110509,0,7,7,110502,6.334325711028061e-05,log_mad,6.0,125941.85678748517
2013,111029,0,0,0,111029,0.0,log_mad,6.0,133504.1420417645
2014,115021,0,1,1,115020,8.694064562123438e-06,log_mad,6.0,131606.41369898597
2015,115626,0,1,1,115625,8.648573850172107e-06,log_mad,6.0,130403.89377564061
2016,229889,0,108,108,229781,0.0004697919430681764,log_mad,6.0,33094.425570245476
2017,228566,0,81,81,228485,0.0003543834166061444,log_mad,6.0,44146.69306826628
2018,227265,0,30,30,227235,0.0001320044881525972,log_mad,6.0,74112.52118126671
2019,225221,0,6,6,225215,2.6640499775775793e-05,log_mad,6.0,112649.68383803726
2020,132967,0,194,194,132773,0.001459008626200486,log_mad,6.0,33384.40589638336
2021,172588,0,238,238,172350,0.0013790066516791435,log_mad,6.0,33384.40589638336
2022,205341,0,69,69,205272,0.0003360264145981562,log_mad,6.0,66085.43963802379
2023,201858,0,37,37,201821,0.00018329716929722873,log_mad,6.0,84656.99055975479
2024,208303,0,37,37,208266,0.0001776258623255546,log_mad,6.0,91554.49603321683
2025,215405,0,74,74,215331,0.00034353891506696686,log_mad,6.0,73626.63926840466
