year,method,parameter,scale,missing_income_code,n_refined,n_metadata_sentinel,n_valid_for_estimation,center,dispersion,statistical_cutoff,n_statistical_outlier,n_trusted
1976,log_mad,6.0,log1p,9999999.0,148396,0,148396,6.90875477931522,1.0261796303443256,472517.6808766022,9,148387
1977,log_mad,6.0,log1p,999999999.0,193886,0,193886,7.183111701743281,1.0446430134661637,694514.5162504349,927,192959
1978,log_mad,6.0,log1p,999999999.0,216329,0,216329,7.601402334583733,1.027289498837894,950875.364802797,634,215695
1979,log_mad,6.0,log1p,999999999.0,171371,0,171371,8.006700845440367,1.0271660568701175,1425020.1114974446,0,171371
1981,log_mad,6.0,log1p,9999999.0,479110,0,472198,8.517393171418904,1.0275117721337166,2379648.5912030186,0,479110
1982,log_mad,6.0,log1p,9999999.0,206845,0,206845,10.12667110305036,1.0276303587877071,11904811.115266629,0,206845
1983,log_mad,6.0,log1p,9999999.0,508216,0,499797,9.924738710037618,1.0590187234223878,11743975.755540838,0,508216
1984,log_mad,6.0,log1p,9999999.0,511389,0,504543,11.002116507732017,1.0276476550526104,28573846.604990292,0,511389
1985,log_mad,6.0,log1p,999999999.0,519783,0,514137,12.316425180300955,1.0658668861252816,133769200.6337102,0,519783
1986,log_mad,6.0,log1p,999999999.0,287320,0,284142,6.481959904400722,1.0442064198546002,343586.95855524036,0,287320
1987,log_mad,6.0,log1p,999999999.0,296508,0,292615,7.558864448195184,1.0903561691975574,1330413.9757580613,0,296508
1988,log_mad,6.0,log1p,999999999.0,293627,0,289633,9.498097441615604,1.1131163503932644,10604568.424470395,0,293627
1989,log_mad,6.0,log1p,999999999.0,300586,0,113568,6.948705265311091,1.2948424006581398,2465140.2579167406,0,300586
1990,log_mad,6.0,log1p,999999999.0,305794,0,115785,10.357822186743848,1.286078215154285,70723711.99477115,0,305794
1992,log_mad,6.0,log1p,999999999999.0,76440,0,76440,12.936036208848487,1.0302104308615079,200695378.98954552,0,76440
1993,log_mad,6.0,log1p,999999999999.0,77843,0,77843,9.067354906294602,1.0275744826841586,4125928.1563061425,0,77843
1995,log_mad,6.0,log1p,999999999999.0,83455,0,83455,4.77912349311153,1.0401714765525336,61091.98656656969,0,83455
1996,log_mad,6.0,log1p,999999999999.0,82551,0,82551,4.890349128221754,1.0805830441612139,87015.0090858066,0,82551
1997,log_mad,6.0,log1p,999999999999.0,87988,0,87988,4.936869143856646,1.0708455873338487,85985.24906513943,0,87988
1998,log_mad,6.0,log1p,999999999999.0,88562,0,88562,4.981320906427481,1.0654571901679286,87033.8635160188,0,88562
1999,log_mad,6.0,log1p,999999999999.0,91737,0,91737,5.000584958242754,1.047494419425975,79661.2797475169,0,91737
2001,log_mad,6.0,log1p,999999999999.0,101423,0,101423,5.198497031265826,1.0194913941928323,82078.65001312198,0,101423
2002,log_mad,6.0,log1p,999999999999.0,103915,0,103915,5.303304908059076,1.020302178419534,91592.7190122804,1,103914
2003,log_mad,6.0,log1p,999999999999.0,105676,0,105676,5.4510384535657,0.9857120539846396,86275.34844628305,0,105676
2004,log_mad,6.0,log1p,999999999999.0,110351,0,110351,5.564520407322694,1.0076438910274297,110235.54593062724,0,110351
2005,log_mad,6.0,log1p,999999999999.0,114576,0,114576,5.69035945432406,0.9979078409190447,117924.28203989312,0,114576
2006,log_mad,6.0,log1p,999999999999.0,116334,0,116334,5.802118375377063,0.9364611322904701,91205.83962329944,1,116333
2007,log_mad,6.0,log1p,999999999999.0,115112,0,115112,5.902633333401366,0.9635040132166182,118616.27501061746,0,115112
2008,log_mad,6.0,log1p,999999999999.0,114822,0,114822,6.030685260261263,0.9433361735921927,119454.87099954819,1,114821
2009,log_mad,6.0,log1p,999999999999.0,117827,0,117827,6.113682179832232,0.9323852662260218,121538.40099146667,0,117827
2011,log_mad,6.0,log1p,999999999999.0,106449,0,106449,6.302618975744905,0.8986569423733494,119916.66124805222,1,106448
2012,log_mad,6.0,log1p,999999999999.0,110509,0,110509,6.434546518787453,0.884839507786056,125941.85678748607,7,110502
2013,log_mad,6.0,log1p,999999999999.0,111029,0,111029,6.520621127558696,0.8802123576147922,133504.1420417645,0,111029
2014,log_mad,6.0,log1p,999999999999.0,115021,0,115021,6.586171654854675,0.866901162755099,131606.41369898597,1,115020
2015,log_mad,6.0,log1p,999999999999.0,115626,0,115626,6.670766320845874,0.8512721893131534,130403.89377564061,1,115625
2016,log_mad,6.0,log1p,999999999999.0,229889,0,229889,7.00397413672268,0.5671960357995393,33094.425570245476,108,229781
2017,log_mad,6.0,log1p,999999999999.0,228566,0,228566,7.0909098220799835,0.6007310217420888,44146.69306826628,81,228485
2018,log_mad,6.0,log1p,999999999999.0,227265,0,227265,7.0909098220799835,0.6870739074400103,74112.52118126671,30,227235
2019,log_mad,6.0,log1p,999999999999.0,225221,0,225221,7.0909098220799835,0.7568561990380595,112649.68383803726,6,225215
2020,log_mad,6.0,log1p,999999999999.0,132967,0,132967,7.244941546337007,0.528488764654597,33384.40589638336,194,132773
2021,log_mad,6.0,log1p,999999999999.0,172588,0,172588,7.244941546337007,0.528488764654597,33384.40589638336,238,172350
2022,log_mad,6.0,log1p,999999999999.0,205341,0,205341,7.313886831633462,0.630805337327086,66085.43963802379,69,205272
