year,missing_income_code,count,frequency
1976,9999999.0,0,0.0
1977,999999999.0,0,0.0
1978,999999999.0,0,0.0
1979,999999999.0,0,0.0
1981,9999999.0,0,0.0
1982,9999999.0,0,0.0
1983,9999999.0,0,0.0
1984,9999999.0,0,0.0
1985,999999999.0,0,0.0
1986,999999999.0,0,0.0
1987,999999999.0,0,0.0
1988,999999999.0,0,0.0
1989,999999999.0,0,0.0
1990,999999999.0,0,0.0
1992,999999999999.0,0,0.0
1993,999999999999.0,0,0.0
1995,999999999999.0,0,0.0
1996,999999999999.0,0,0.0
1997,999999999999.0,0,0.0
1998,999999999999.0,0,0.0
1999,999999999999.0,0,0.0
2001,999999999999.0,0,0.0
2002,999999999999.0,0,0.0
2003,999999999999.0,0,0.0
2004,999999999999.0,0,0.0
2005,999999999999.0,0,0.0
2006,999999999999.0,0,0.0
2007,999999999999.0,0,0.0
2008,999999999999.0,0,0.0
2009,999999999999.0,0,0.0
2011,999999999999.0,0,0.0
2012,999999999999.0,0,0.0
2013,999999999999.0,0,0.0
2014,999999999999.0,0,0.0
2015,999999999999.0,0,0.0
2016,999999999999.0,0,0.0
2017,999999999999.0,0,0.0
2018,999999999999.0,0,0.0
2019,999999999999.0,0,0.0
2020,999999999999.0,0,0.0
2021,999999999999.0,0,0.0
2022,999999999999.0,0,0.0
2023,999999999999.0,0,0.0
2024,999999999999.0,0,0.0
2025,999999999999.0,0,0.0
