year,p80,p99,p100,total
1976,55229191.25619784,80930856.0298872,27057614.755869687,163217662.04195473
1977,69250638.92340185,105369279.72089042,40681004.45696823,215300923.1012605
1978,81017025.39951555,123001355.59402005,37326597.40647425,241344978.40000987
1979,61724631.80026323,94439473.02527115,104368326.77180889,260532431.59734327
1981,58390310.03257897,81398215.88579783,20132647.861430943,159921173.77980775
1982,60981289.44121524,84992228.60861227,21617377.166811705,167590895.21663922
1983,35673506.76082203,51596546.66297127,13328094.098948881,100598147.52274218
1984,31702755.943397168,44943911.68090521,11085338.558281362,87732006.18258373
1985,34431213.77262735,49838611.17345318,13417146.454606697,97686971.40068723
1986,29089162.26674993,40172452.64515363,11177090.074165523,80438704.98606908
1987,23395268.270284325,33685298.01104572,9283203.628033273,66363769.909363315
1988,23912814.626369588,37273231.11905896,10786194.970587507,71972240.71601605
1989,73704984.28792073,140247169.96667683,53259797.860507786,267211952.11510533
1990,91689106.83370852,157580826.68076804,53599565.74753353,302869499.2620101
1992,8968928.19788529,11766493.512709394,3311691.707023099,24047113.417617783
1993,9501739.69830756,13693798.756437955,4201122.325826632,27396660.78057215
1995,16191055.067207035,23682348.44868465,6720663.384259015,46594066.9001507
1996,16457456.402911915,24167693.99632238,6623890.642395094,47249041.04162939
1997,16760512.386329245,24321585.56621326,6960949.7358509675,48043047.68839347
1998,16094446.326763337,23601972.26346358,6758308.470505752,46454727.06073267
1999,10240274.202889452,14828087.894300858,4106687.072861014,29175049.17005132
2001,8792922.29355782,12531168.676842635,3612480.911898367,24936571.882298823
2002,7900926.243594854,11053713.899488445,3011923.4738682173,21966563.616951518
2003,10019972.457728678,13527438.027213952,3666524.1385498587,27213934.62349249
2004,11532425.092999373,15235212.882047862,4242539.4560949765,31010177.43114221
2005,16135433.131385531,21047600.15179733,5832163.893345967,43015197.17652883
2006,19281917.641894907,24387631.709263645,6677335.570029251,50346884.9211878
2007,22998334.7623417,28367091.65700443,7824399.131086528,59189825.55043266
2008,26366984.01754634,31790678.322957642,8753701.191733979,66911363.53223796
2009,29466814.029902,34990398.2573538,9543649.813387796,74000862.10064359
2011,32158854.29990644,36461399.46831543,9670979.638475075,78291233.40669695
2012,32400398.24018288,35678031.731824785,9486656.632585675,77565086.60459334
2013,31421803.422042523,34901343.36247659,9006737.944356352,75329884.72887546
2014,34992609.81999252,37713545.86231846,9604516.76956226,82310672.45187324
2015,21554552.15870232,23092361.194985703,5814126.14708484,50461039.50077286
2016,76357883.77774493,73426122.82865058,16627126.435231686,166411133.0416272
2017,80656933.34564085,78959620.48465164,18735473.097587496,178352026.92788
2018,61767653.57890937,61964242.26326002,15404482.737388268,139136378.57955766
2019,62400941.864908375,62836282.08900937,16201442.90164984,141438666.85556757
2020,30344869.23808959,30615821.01036349,6538854.569410875,67499544.81786396
2021,37981320.81576422,36632740.6329893,7830216.768981859,82444278.21773538
2022,47802566.37773353,47269302.98380718,11361759.84501487,106433629.20655558
2023,52514822.988552414,52159705.818135835,12287933.928081378,116962462.73476963
2024,51191263.74544591,50863161.87520976,12194062.96625492,114248488.58691059
2025,58460802.06441178,57639762.82747603,13093020.456698082,129193585.3485859
