year,value_measure,normalization_mean,cutoff_normalized,cutoff_income_adj,cutoff_quantile,n_total,n_body,n_tail,body_fraction,tail_fraction,gompertz_intercept_mode,gompertz_A,gompertz_A_theoretical,gompertz_A_free_diagnostic,gompertz_A_free_deviation,gompertz_B,gompertz_B_free_diagnostic,gompertz_r2,gompertz_rmse,pareto_alpha,pareto_density_exponent,pareto_beta,pareto_r2,pareto_rmse,pareto_ks,continuity_error,joint_log_likelihood,joint_aic,joint_bic,likelihood_type,candidate_count,second_best_cutoff_normalized,second_best_log_likelihood,log_likelihood_difference,profile_ci_lower,profile_ci_upper,profile_ci_width,sensitivity_cutoff_p20,sensitivity_cutoff_p40,sensitivity_cutoff_p60,sensitivity_spread,sensitivity_max_relative_change,selection_criterion,fit_status,failure_reason
1976,income_adj,1099.945831116976,0.31251279043060004,343.7471410048717,0.31915868640783895,148387,47359,101028,0.31915868640783895,0.680841313592161,fixed,1.5271796258079011,1.5271796258079011,1.5304413462323643,0.003261720424463155,0.2630893359326776,0.23351615861397532,0.8330710632790789,0.00698659909734196,1.0064116786045678,2.006411678604568,21.56601467971641,0.6604539531998543,1.8502466570664953,0.0834174073622912,0.0,-123296.83372031439,246599.66744062878,246629.3901776432,normalized_piecewise_microdata,75,0.34454535144973664,-124107.83966570064,811.0059453862486,0.31251279043060004,0.31251279043060004,0.0,0.31251279043060004,0.3617726190222234,0.8706489431616806,0.5581361527310806,1.7859625904016443,log_likelihood,boundary_lower,
1977,income_adj,1115.7858565874642,0.3402843117531071,379.6844222727163,0.3949802807850372,192959,76215,116744,0.3949802807850372,0.6050197192149628,fixed,1.5271796258079011,1.5271796258079011,1.5308289029422437,0.003649277134342599,0.31436064702447564,0.2786578300966634,0.8630373252771311,0.00798831432159487,1.0075750510826271,2.007575051082627,21.15423265235169,0.7153110952636852,1.594711782676944,0.09082420677520298,7.105427357601002e-15,-157502.73258724812,315011.46517449623,315041.9758735265,normalized_piecewise_microdata,73,0.9480193626447266,-158202.52618128507,699.7935940369498,0.3402843117531071,0.3402843117531071,0.0,0.3402843117531071,0.9480193626447266,0.9480193626447266,0.6077350508916195,1.7859625904016434,log_likelihood,boundary_lower,
1978,income_adj,1118.9178163611111,0.6829729744708638,764.1906292285918,0.6334546466074782,215695,136633,79062,0.6334546466074782,0.36654535339252187,fixed,1.5271796258079011,1.5271796258079011,1.533324412897846,0.006144787089944925,0.33746538078237254,0.3599161518039634,0.9616375624999337,0.010316158852204412,1.227517222953782,2.2275172229537823,24.2679182964572,0.6927406754681475,1.823725502837029,0.09415898093538959,0.0,-185589.4480784766,371184.8961569532,371215.7410189085,normalized_piecewise_microdata,70,1.1124910083497972,-186214.87148260986,625.4234041332675,0.6829729744708638,0.6829729744708638,0.0,0.6829729744708638,0.6829729744708638,0.6829729744708638,0.0,0.0,log_likelihood,ok_interior,
1979,income_adj,1520.2830793853293,0.2972686392441602,451.9324822747984,0.45802381966610456,171371,78492,92879,0.45802381966610456,0.5419761803338955,fixed,1.5271796258079011,1.5271796258079011,1.5308239472875242,0.003644321479623125,0.445991247253007,0.42333869966157955,0.9167078777028431,0.00788794516505677,1.051018856879234,2.0510188568792342,15.773819806340738,0.9290532389429541,0.47942843168809623,0.07588901223123515,7.105427357601002e-15,-90411.40844720845,180828.8168944169,180858.9716526448,normalized_piecewise_microdata,63,0.28311298975634297,-91820.5627890873,1409.1543418788497,0.2972686392441602,0.2972686392441602,0.0,0.2972686392441602,0.2972686392441602,0.5885715723618636,0.29130293311770344,0.9799315994393984,log_likelihood,weakly_identified,
1981,income_adj,338.6739752811485,4.671942431410631,1582.265315530513,0.9677677584403153,472198,456978,15220,0.9677677584403153,0.03223224155968471,fixed,1.5271796258079011,1.5271796258079011,1.5274052897904085,0.00022566398250734032,0.31398408272009404,0.3032954186211949,0.9940953748735935,0.01910351888489646,2.255891643649299,3.255891643649299,93.66672161388064,0.8761512797257563,0.9027950693972907,0.05350377799603251,0.0,-432405.52897257556,864817.0579451511,864850.2534061555,normalized_piecewise_microdata,68,4.44946898229584,-432439.50449866825,33.975526092690416,4.671942431410631,4.671942431410631,0.0,4.671942431410631,4.671942431410631,4.671942431410631,0.0,0.0,log_likelihood,ok_interior,
1982,income_adj,810.2245411619291,0.5994802768722024,485.7136322644064,0.5625806763518577,206845,116367,90478,0.5625806763518577,0.43741932364814234,fixed,1.5271796258079011,1.5271796258079011,1.5303864879972136,0.0032068621893124316,0.30365806574976173,0.2987615571612016,0.9496812323113563,0.007915566582948355,1.2101958542646216,2.2101958542646214,25.01526248151629,0.6051798694991616,2.078988200175586,0.07011011684880938,7.105427357601002e-15,-187612.87463640352,375231.74927280704,375262.4684478055,normalized_piecewise_microdata,70,0.8033609056771066,-187992.19945061172,379.32481420820113,0.5994802768722024,0.5994802768722024,0.0,0.5994802768722024,0.5994802768722024,0.8033609056771066,0.2038806288049042,0.34009564062500025,log_likelihood,weakly_identified,
1983,income_adj,201.2792220849834,4.533509460649559,912.5012575544558,0.9649835732321717,499794,482293,17501,0.9649835732321717,0.035016426767828346,fixed,1.5271796258079011,1.5271796258079011,1.526495772823047,-0.000683852984854072,0.3205382668266892,0.30232202547121123,0.9903791842473351,0.025739741957362797,2.2415016101790752,3.2415016101790752,86.9076391924255,0.9490645184641895,0.6423020515833331,0.0363396687671872,4.440892098500626e-16,-451825.0852984353,903656.1705968706,903689.5364507481,normalized_piecewise_microdata,68,4.317628057761485,-451976.5397555272,151.45445709192427,4.533509460649559,4.533509460649559,0.0,4.533509460649559,4.533509460649559,4.533509460649559,0.0,0.0,log_likelihood,ok_interior,
1984,income_adj,173.89547517905245,5.368312124488853,933.5251877974578,0.9746129908227785,504510,491702,12808,0.9746129908227785,0.025387009177221462,fixed,1.5271796258079011,1.5271796258079011,1.5265648045961169,-0.0006148212117842444,0.3157283826560823,0.2997612842529316,0.992482868941508,0.02501389427607806,2.376598402940284,3.376598402940284,126.40258732855283,0.8662023230207506,0.9478645929708631,0.0420696661410751,0.0,-460439.3839184456,920884.7678368912,920918.1618657118,normalized_piecewise_microdata,69,4.005917161244666,-460458.7141323579,19.33021391229704,5.368312124488853,5.368312124488853,0.0,5.368312124488853,5.368312124488853,5.368312124488853,0.0,0.0,log_likelihood,ok_interior,
1985,income_adj,190.00183103080937,4.675348494895154,888.3247747372179,0.9676078554937692,514137,497483,16654,0.9676078554937692,0.03239214450623083,fixed,1.5271796258079011,1.5271796258079011,1.5263131542737796,-0.0008664715341215601,0.3232613608487006,0.30379168178724747,0.9903428311364177,0.024459069618313737,2.131695521284213,3.131695521284213,73.97060675735968,0.8835951064982177,1.0173376921334083,0.054830848982671765,4.440892098500626e-16,-461572.7275752855,923151.455150571,923184.9058857086,normalized_piecewise_microdata,68,4.909115919639912,-461581.7494947095,9.021919424005318,4.675348494895154,4.675348494895154,0.0,4.675348494895154,4.675348494895154,4.675348494895154,0.0,0.0,log_likelihood,ok_interior,
1986,income_adj,283.0933300464876,4.507782282666739,1276.1230975246842,0.9665730515024178,284142,274644,9498,0.9665730515024178,0.033426948497582196,fixed,1.5271796258079011,1.5271796258079011,1.5282614906704106,0.0010818648625094962,0.3174519920468972,0.31058512647181474,0.995363332559395,0.018305402496750178,2.18632345901962,3.18632345901962,80.89316559206078,0.9855824940948643,0.30303667108521637,0.03835572695358862,0.0,-256986.1771172685,513978.354234537,514010.02592271357,normalized_piecewise_microdata,69,3.7085636397729247,-257013.6323657994,27.455248530895915,4.507782282666739,4.507782282666739,0.0,4.507782282666739,4.507782282666739,4.507782282666739,0.0,0.0,log_likelihood,ok_interior,
