year,source,gini,gini_calculated,difference,absolute_difference
1981,Banco Mundial,0.57864045464,0.588486655721123,0.009846201081122996,0.009846201081122996
1982,Banco Mundial,0.583560943294,0.5898439323148561,0.006282989020856111,0.006282989020856111
1983,Banco Mundial,0.589039744859,0.5984475364064354,0.009407791547435429,0.009407791547435429
1984,Banco Mundial,0.582991179841,0.5907641612179759,0.007772981376975907,0.007772981376975907
1985,Banco Mundial,0.555264216911,0.6020969269730709,0.046832710062070904,0.046832710062070904
1986,Banco Mundial,0.584328977746,0.5930790055733721,0.008750027827372109,0.008750027827372109
1987,Banco Mundial,0.596431493876,0.6046304992950189,0.008199005419018857,0.008199005419018857
1988,Banco Mundial,0.613722993924,0.6245229030230623,0.010799909099062366,0.010799909099062366
1989,Banco Mundial,0.63245782638,0.6849621476812187,0.052504321301218626,0.052504321301218626
1990,Banco Mundial,0.60450872928,0.6608834465792262,0.05637471729922616,0.05637471729922616
1992,Banco Mundial,0.531034170544,0.5856840442536253,0.05464987370962526,0.05464987370962526
1993,Banco Mundial,0.600668969317,0.6097346922973306,0.009065722980330593,0.009065722980330593
1995,Banco Mundial,0.595311943295,0.607814895393497,0.012502952098496944,0.012502952098496944
1996,Banco Mundial,0.598383767765,0.6093421955329017,0.01095842776790168,0.01095842776790168
1997,Banco Mundial,0.597547175783,0.6087982134452548,0.01125103766225477,0.01125103766225477
1998,Banco Mundial,0.595662519999,0.6095628702929219,0.013900350293921893,0.013900350293921893
1999,Banco Mundial,0.589512228762,0.6040101548852972,0.014497926123297145,0.014497926123297145
2001,Banco Mundial,0.58402876478,0.6045135448171306,0.020484780037130612,0.020484780037130612
2002,Banco Mundial,0.58105672714,0.5957395428733008,0.01468281573330077,0.01468281573330077
2003,Banco Mundial,0.575533879723,0.5883019899186346,0.012768110195634619,0.012768110195634619
2004,Banco Mundial,0.56471825867,0.5835216952670244,0.018803436597024326,0.018803436597024326
2005,Banco Mundial,0.563101304494,0.5795971476217232,0.01649584312772323,0.01649584312772323
2006,Banco Mundial,0.556422105694,0.5710157172381345,0.014593611544134522,0.014593611544134522
