year,source,gini
1981,Banco Mundial,0.57864045464
1982,Banco Mundial,0.583560943294
1983,Banco Mundial,0.589039744859
1984,Banco Mundial,0.582991179841
1985,Banco Mundial,0.555264216911
1986,Banco Mundial,0.584328977746
1987,Banco Mundial,0.596431493876
1988,Banco Mundial,0.613722993924
1989,Banco Mundial,0.63245782638
1990,Banco Mundial,0.60450872928
1992,Banco Mundial,0.531034170544
1993,Banco Mundial,0.600668969317
1995,Banco Mundial,0.595311943295
1996,Banco Mundial,0.598383767765
1997,Banco Mundial,0.597547175783
1998,Banco Mundial,0.595662519999
1999,Banco Mundial,0.589512228762
2001,Banco Mundial,0.58402876478
2002,Banco Mundial,0.58105672714
2003,Banco Mundial,0.575533879723
2004,Banco Mundial,0.56471825867
2005,Banco Mundial,0.563101304494
2006,Banco Mundial,0.556422105694
2007,Banco Mundial,0.549191681065
2008,Banco Mundial,0.540375889542
2009,Banco Mundial,0.536820020289
2011,Banco Mundial,0.529417718899
2012,Banco Mundial,0.534459752729
2013,Banco Mundial,0.527108703138
2014,Banco Mundial,0.52051631641
2015,Banco Mundial,0.519366717318
2016,Banco Mundial,0.533623062525
2017,Banco Mundial,0.53286657297
2018,Banco Mundial,0.538905021683
2019,Banco Mundial,0.534758476099
2020,Banco Mundial,0.488220629536
2021,Banco Mundial,0.528508850596
2022,Banco Mundial,0.518944401741
2023,Banco Mundial,0.514862434537
2024,Banco Mundial,0.502581211667
2025,Banco Mundial,
1981,IPEA,
1982,IPEA,
1983,IPEA,
1984,IPEA,
1985,IPEA,
1986,IPEA,
1987,IPEA,
1988,IPEA,
1989,IPEA,
1990,IPEA,
1992,IPEA,
1993,IPEA,
1995,IPEA,0.615
1996,IPEA,0.616
1997,IPEA,0.616
1998,IPEA,0.614
1999,IPEA,0.608
2001,IPEA,0.61
2002,IPEA,0.603
2003,IPEA,0.596
2004,IPEA,0.585
2005,IPEA,0.582
2006,IPEA,0.575
2007,IPEA,0.568
2008,IPEA,0.558
2009,IPEA,0.554
2011,IPEA,0.543
2012,IPEA,0.54
2013,IPEA,0.532
2014,IPEA,0.526
2015,IPEA,0.524
2016,IPEA,0.537
2017,IPEA,0.539
2018,IPEA,0.545
2019,IPEA,0.543
2020,IPEA,0.523
2021,IPEA,0.544
2022,IPEA,0.517
2023,IPEA,0.517
2024,IPEA,0.504
2025,IPEA,0.511
